Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=21, 비교문서 문장번호=30, 비교문서 문장=앞서 모리와 함께 한 화요일이란 작품에서 언급했듯이 말이다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=leichelle&logNo=150164065110&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.7142857142857143, endResult=0.7114141410460475]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=27, 비교문서 문장번호=3, 비교문서 문장=모리와 함께 한 화요일 도 재미있게 읽었는데 이번 책도 여운이 남는 좋은 책이다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=wendy523&logNo=40199836096&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6324555320336759, tagRate=0.0, editRate=0.6029411764705882, endResult=0.6147469186958233]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=30, 비교문서 문장번호=13, 비교문서 문장=모리와 함께 한 화요일 말이다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=jonychoi&logNo=20039368132&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.9999999999999998, tagRate=0.0, editRate=0.8, endResult=0.8799999999999999]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=30, 비교문서 문장번호=86, 비교문서 문장=내가 가 메 야마의 책을 덮으며 모리와 함께 한 화요일 의 생각이 났던, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=jonychoi&logNo=20039368132&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.6324555320336759, tagRate=0.0, editRate=0.5483870967741935, endResult=0.5820144708779864]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=31, 비교문서 문장번호=57, 비교문서 문장=2. 최초의 책을 잘 고르기 저의 경우엔 처음 읽은 책이 엉뚱하게도 모리와 함께 한 화요일 이었습니다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=annerheekim&logNo=90047491462&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5345224838248487, tagRate=0.0, editRate=0.425, endResult=0.4688089935299395]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=34, 비교문서 문장번호=29, 비교문서 문장=모리와 함께 한 화요일 미치 앨 봄: 죽음을 앞둔 노 교수와 제자가 나눈 열네, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=kwak27&logNo=60000497375&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5345224838248487, tagRate=0.0, editRate=0.5757575757575758, endResult=0.5592635389844849]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=36, 비교문서 문장번호=5, 비교문서 문장=모리와 함께 한 화요일 을 거의 다 읽어 가고 있습니다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=i2i&logNo=70006878146&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.9999999999999998, tagRate=0.0, editRate=0.7222222222222222, endResult=0.8333333333333333]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=38, 비교문서 문장번호=15, 비교문서 문장=이번 달 필독서는 모리와 함께 한 화요일 이랍니다., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=jhyoung69&logNo=10113021335&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.7071067811865475, tagRate=0.0, editRate=0.6470588235294118, endResult=0.6710780065922661]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=43, 비교문서 문장번호=13, 비교문서 문장=모리와 함께 한 화요일 독후감 ..., 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=sunsetnara&logNo=20125368760&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.8164965809277259, tagRate=0.0, editRate=0.7906976744186046, endResult=0.8010172370222531]
Data [검사문장번호=0, 검사문장=모리와 함께 한 화요일이라는 책을 읽었다., 비교문서번호=44, 비교문서 문장번호=8, 비교문서 문장=이 책은 온통 두려움뿐인...... http:// blog. naver. com/ natecat natecat 님의 블 로그 독후감 모리와 함께 한 화요일/ 미치 앨 봄... 무엇일까?, 비교문서 주소=http://blog.naver.com/PostView.nhn?blogId=fzyjdh&logNo=150108472992&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true, CosineRate=0.5773502691896258, tagRate=0.0, editRate=0.29365079365079366, endResult=0.40713058386632656]
